frame_index,video_timestamp,header_stamp_secs,header_stamp_nsecs,pos_x,pos_y,yaw,v_calculated,w_calculated
0,1635452200.0306451,1635452200,30645128,-44.74890764986284,95.22406699335795,1.9028492768191743,-1.3971764954214956,-0.06789310600208737
1,1635452200.062896,1635452200,62896054,-44.75703903764493,95.2475836840639,1.9045479930611442,-1.1364651948725444,-0.12163559723621864
2,1635452200.094393,1635452200,94393075,-44.76242588931341,95.26301636235347,1.9072898764638917,-0.853415075744595,-0.175533070060126
3,1635452200.12884,1635452200,128840028,-44.76521564151228,95.27100866487862,1.9087098478539688,-0.6679901699883769,-0.21136116361599241
4,1635452200.1594276,1635452200,159427642,-44.77281167484207,95.2923643799362,1.9156731901649307,-0.610283109770176,-0.23055893778729047
5,1635452200.1963801,1635452200,196380170,-44.78010263479573,95.31239999427605,1.9228592505275863,-0.8314281752011613,-0.2828459920157575
6,1635452200.2281237,1635452200,228123742,-44.7821896882625,95.31812021950276,1.9249325879649768,-0.8328346807797343,-0.2659756877946836
7,1635452200.2584252,1635452200,258425120,-44.789762341749416,95.3383351817242,1.9323109528435818,-0.6477776131241125,-0.19225094066414142
8,1635452200.2954178,1635452200,295417770,-44.79733177029822,95.35817675002474,1.937673861824969,-0.8330004203700797,-0.2004955459318629
9,1635452200.3467946,1635452200,346794490,-44.80250263586198,95.37156999693327,1.9408879202332794,-0.7787794947610902,-0.1690624340299001
10,1635452200.3710303,1635452200,371030407,-44.8091876967936,95.38873971730833,1.944807567996622,-0.7173229341636366,-0.15244490266390373
11,1635452200.3958619,1635452200,395861783,-44.81582558073081,95.40552002003602,1.9487296739669322,-0.883690647191224,-0.17392060066881954
12,1635452200.4268584,1635452200,426858411,-44.81824380752255,95.41163319978027,1.9501585241588253,-0.8656035148104241,-0.16829223026100243
13,1635452200.4586017,1635452200,458601703,-44.826936488694976,95.43326079968698,1.9550259856468504,-0.7239538841161381,-0.12803991926014469
14,1635452200.4957457,1635452200,495745582,-44.83754700327742,95.45932932675852,1.9589770948655176,-1.2435708947146678,-0.17354914384866021
15,1635452200.52768,1635452200,527679975,-44.84102876235878,95.46786811646594,1.9601809499866456,-1.274520910424162,-0.1805732853823305
16,1635452200.5593977,1635452200,559397589,-44.85553221826061,95.50291642538036,1.9655855952888814,-1.1331391379596318,-0.149527767076609
17,1635452200.5960424,1635452200,596042420,-44.87097150441871,95.5396772900195,1.9703512403371446,-1.7513853974056426,-0.17691983662173397
18,1635452200.627842,1635452200,627841936,-44.87582501909152,95.55121557943097,1.9718171562443367,-1.7518597951491681,-0.17082799076234154
19,1635452200.6592925,1635452200,659292504,-44.89525477627412,95.59673389238161,1.9761960715897358,-1.4924000071902672,-0.11652118179102378
20,1635452200.6962361,1635452200,696236184,-44.91612922558978,95.6451485985607,1.9790854866599183,-2.2279968980642892,-0.07330702033703136
21,1635452200.728412,1635452200,728411922,-44.92233809180104,95.65953317316152,1.9798860583938915,-2.2456271237936156,-0.05620680630579775
22,1635452200.7590017,1635452200,759001767,-44.94700139928231,95.71631438249358,1.9810943903986815,-1.8861756530736034,0.0047492775513031105
23,1635452200.7946308,1635452200,794630701,-44.970789359790004,95.77106923831495,1.980446193370975,-2.7202222860033842,0.017862527159988855
24,1635452200.826301,1635452200,826301208,-44.98090857203821,95.7943608257056,1.980055930018088,-2.7198693085922314,0.012608192756048665
25,1635452200.8582711,1635452200,858271159,-45.009562748093735,95.86042982546174,1.979983609944063,-2.3467271436882164,0.015210027859680245
26,1635452200.8949082,1635452200,894908273,-45.03971091691048,95.92997732780323,1.9797384783157863,-3.1757258313846077,0.0018225143502256505
27,1635452200.9277887,1635452200,927788803,-45.05130896312917,95.95673493768025,1.9796312509575942,-3.1885332055600224,0.008636476289707193
28,1635452200.9591115,1635452200,959111346,-45.08610989527725,96.03705148168123,1.979707318526718,-2.5540585000067466,0.008420592586977044
29,1635452200.9949474,1635452200,994947533,-45.11683541748669,96.10801263734365,1.9792494216686696,-3.3169445551636083,0.009502591837297661
30,1635452201.0264716,1635452201,26471606,-45.128989106219215,96.13608482409838,1.9790367002727032,-3.2841121779146043,0.0075524472225026625
31,1635452201.0588381,1635452201,58838231,-45.163276731560856,96.21537357917039,1.9788870351849888,-2.5291467581083302,0.01056177682616935
32,1635452201.0948062,1635452201,94806196,-45.19437634844521,96.28732588767261,1.978693555950186,-3.3216094784038144,0.014201140521770555
33,1635452201.12675,1635452201,126749988,-45.206832182830375,96.31614630035902,1.9786120212124119,-3.33001545471619,0.022219197407218214
34,1635452201.1586466,1635452201,158646575,-45.24097089619525,96.39526587801694,1.977797465189966,-2.5853923513023838,0.018063322888113027
35,1635452201.1960876,1635452201,196087554,-45.275435048346296,96.47528335458371,1.9772349797895534,-3.3261433854209477,0.015052474976366461
36,1635452201.2270284,1635452201,227028272,-45.285531033886535,96.49873097848587,1.9770831765944377,-3.3202790062426866,0.010998791658390648
37,1635452201.2589087,1635452201,258908661,-45.31973471906184,96.5782144726847,1.9772335341608624,-2.536289704761601,1.405736119219729e-06
38,1635452201.2953384,1635452201,295338350,-45.35158226003184,96.65223759440707,1.9770132025836153,-3.2949667303866605,-0.0005551476144105717
39,1635452201.3268073,1635452201,326807297,-45.36299809234655,96.67877223640505,1.976913304970442,-3.3100727473900737,0.0004330617750553598
40,1635452201.3585222,1635452201,358522294,-45.39651276759248,96.75670015907228,1.976986664572617,-2.574776564912286,-0.001809134937020443
41,1635452201.3950014,1635452201,395001420,-45.42863016740773,96.83137185499841,1.9769982407824782,-3.3145611289699333,0.004573151699451946
42,1635452201.428163,1635452201,428163048,-45.440731462115956,96.859506348865,1.976998240782541,-3.3136132454728036,0.0126911505581751
43,1635452201.459496,1635452201,459496071,-45.47612284066054,96.94182685505447,1.9766874462099977,-2.5014220229514432,0.016963293055824363
44,1635452201.4949355,1635452201,494935512,-45.50589910809703,97.01119487750577,1.976017291425339,-3.2982745547595296,0.018134506772559428
45,1635452201.5264776,1635452201,526477477,-45.51800270167465,97.0393973888926,1.975724203601065,-3.3058395371042244,0.01294675752263315
46,1635452201.5588078,1635452201,558807900,-45.55182403202115,97.11832447388552,1.975575215351985,-2.5396176880200323,0.008130416104264127
47,1635452201.5951145,1635452201,595114524,-45.58345133534365,97.19216092372025,1.9754361916152519,-3.2879607427332345,0.00660515246193317
48,1635452201.6269505,1635452201,626950617,-45.59522444726764,97.21964812099021,1.9753844603524695,-3.278434125547296,0.011012912598093769
49,1635452201.6590078,1635452201,659007782,-45.628873842559784,97.29828463770933,1.9749308127422482,-2.504499670341931,0.008539823151552254
50,1635452201.6964512,1635452201,696451224,-45.66245143986876,97.3768341918775,1.9746157844250876,-3.269094731570292,0.01512010012882808
51,1635452201.7281282,1635452201,728128266,-45.67161596517538,97.39827628225622,1.9745351022316862,-3.299797187647469,0.014539736591582277
52,1635452201.7593174,1635452201,759317385,-45.70640088475622,97.4797385628663,1.9742274213084234,-2.521580134858654,0.01557227423210876
53,1635452201.7951941,1635452201,795194256,-45.73693058114405,97.55133204276619,1.9736603881727433,-3.3003546540209294,0.019894177508671278
54,1635452201.8264704,1635452201,826470317,-45.748470212824735,97.57839789751365,1.973430936674204,-3.2972491300885656,0.018283466095973738
55,1635452201.8585196,1635452201,858519446,-45.78174191795867,97.65659209749167,1.972842310283925,-2.5511065884922948,0.014534055798933986
56,1635452201.895696,1635452201,895695952,-45.814610793112706,97.73391648407294,1.9726286677190232,-3.311181184843947,0.010599316248476357
57,1635452201.9302998,1635452201,930299693,-45.82524689806372,97.75894264534014,1.97258157855322,-3.3521133515008787,0.009865643202498145
58,1635452201.9609287,1635452201,960928579,-45.86311207762604,97.84811092643235,1.972162899270754,-2.4512296581296487,0.0027520112372591736
59,1635452201.9968479,1635452201,996847977,-45.89418279227561,97.92133844297886,1.9720239527849597,-3.320444895417016,0.011456740641478039
60,1635452202.0495386,1635452202,49538645,-45.918551882196546,97.9787989422661,1.9718457006455739,-3.0341584100491614,0.012185659143234037
61,1635452202.0785813,1635452202,78581226,-45.940860818198054,98.03141472398273,1.9716472846201367,-3.299180436273714,0.012591143074103923
62,1635452202.0978253,1635452202,97825298,-45.97320741346349,98.10780366895693,1.971153767580622,-3.2810346352097213,0.01112586212623362
63,1635452202.1268024,1635452202,126802362,-45.97982946329554,98.12344214330285,1.9710527339354482,-3.303361381493377,0.009111104612203519
64,1635452202.1588564,1635452202,158856464,-46.01301056540405,98.2018760425501,1.970977844479547,-2.5314177164461205,0.0016978884358549908
65,1635452202.2128284,1635452202,212828486,-46.055863958337234,98.30318416693441,1.970967798123349,-3.2609886270122623,-0.0019975267738629116
66,1635452202.237808,1635452202,237808054,-46.055863958337234,98.30318416693441,1.970967798123349,-3.418323786296672,-0.00032171425795966455
67,1635452202.2595844,1635452202,259584460,-46.09109148212651,98.38645542304208,1.9710458371827233,-2.552233642680098,-0.0011323558574710597
68,1635452202.2954504,1635452202,295450366,-46.121873096976785,98.45921738465309,1.9709922058380775,-3.3169991749259418,0.0030492077650448937
69,1635452202.3265083,1635452202,326508352,-46.13303025298419,98.48559080791392,1.970967798123349,-3.299893752796827,0.0071952362355929885
70,1635452202.3586016,1635452202,358601632,-46.166357847403795,98.56439896730187,1.9708195526493935,-2.5372279391146195,0.0037578206678208705
71,1635452202.3955011,1635452202,395501238,-46.19788432784608,98.63898545907404,1.970615973886499,-3.271527813106319,0.0007121704176187612
72,1635452202.4277792,1635452202,427779161,-46.20856099123317,98.66424700254085,1.970543119062857,-3.2817242953301338,0.0013307244259876826
73,1635452202.4589708,1635452202,458970727,-46.24253328701438,98.74460819447408,1.970920187773427,-2.525079899672716,-0.011129822976934895
74,1635452202.4950523,1635452202,495052323,-46.27320473529112,98.81713909620922,1.9708502756792103,-3.323068088165602,-0.004586338172401906
75,1635452202.5266986,1635452202,526698545,-46.28495631036262,98.84492748050225,1.9707979264991529,-3.323453718210133,0.0021573830234257237
76,1635452202.5635636,1635452202,563563610,-46.32349671651847,98.93601898783469,1.9713075413717438,-2.544421951632654,0.011470808318806827
77,1635452202.595058,1635452202,595057852,-46.349945191630745,98.99858264259991,1.9705427968257967,-3.2960896250923235,0.014809852898291813
78,1635452202.6268072,1635452202,626807194,-46.36168397187884,99.02635063268967,1.9702033758144644,-3.2748382328568377,0.016388302473445745
79,1635452202.6640408,1635452202,664040908,-46.399002418784804,99.11481561068929,1.969778696753972,-2.5253987058360883,0.01971992513032326
80,1635452202.6955347,1635452202,695534589,-46.426245700390474,99.17946596649523,1.9695356008734297,-3.276394934223404,0.010808335294405258
81,1635452202.7265766,1635452202,726576590,-46.437076782566635,99.20516893894134,1.9694389535055776,-3.2877145373954493,0.012498041440141265
82,1635452202.7636077,1635452202,763607760,-46.47506253022726,99.29542978031094,1.968844402820889,-2.553984792221982,0.008340771386049578
83,1635452202.7951536,1635452202,795153700,-46.50148761917336,99.35828764353542,1.9687261517297443,-3.303174290761894,0.01435789269280813
84,1635452202.8291118,1635452202,829111908,-46.5130230491595,99.38572719092099,1.9686745311964902,-3.3139510748943133,0.01708687879986365
85,1635452202.8642638,1635452202,864263694,-46.55100847603057,99.47616984738762,1.9681649163241015,-2.5716127400362696,0.01282980485389707
86,1635452202.8960567,1635452202,896056590,-46.579114581970074,99.54320161013875,1.967659714043382,-3.2970100843532943,0.013433823608924006
87,1635452202.9266424,1635452202,926642511,-46.58881060043108,99.56632616572492,1.967485429827314,-3.3008859428996717,0.011106488055480819
88,1635452202.9636784,1635452202,963678411,-46.62674848761877,99.65689254456987,1.9674854298271114,-2.5555478922274126,-0.005861571740577125
89,1635452202.994963,1635452202,994963033,-46.65282980927127,99.71916202112885,1.9674271037806372,-3.318896713996851,-0.000654870514666513
90,1635452203.0276213,1635452203,27621369,-46.664728744533264,99.74757087556675,1.9674004940152146,-3.3163599700800885,0.007838780633508532
91,1635452203.0642078,1635452203,64207719,-46.702790663550616,99.838422519642,1.9676553014513076,-2.5736506279345335,0.009557611415027993
92,1635452203.0966508,1635452203,96650809,-46.732014472070894,99.90826129999375,1.9668016905121772,-3.2947012971576988,0.014789173213897722
93,1635452203.1268513,1635452203,126851256,-46.74059233798515,99.92876060257633,1.9665511358942287,-3.306136270612399,0.01553944612628002
94,1635452203.163499,1635452203,163499015,-46.778340297079005,100.0191211491176,1.9664662000821296,-2.5374225021021704,0.014998667441030135
95,1635452203.1948547,1635452203,194854701,-46.8040256116764,100.08065772865547,1.9661196129120522,-3.309490014671322,0.007302282865520263
96,1635452203.2268596,1635452203,226859546,-46.816107472154336,100.1096033102035,1.9659565852093377,-3.3007335352733294,0.010113809132949077
97,1635452203.2642794,1635452203,264279440,-46.85381780492443,100.20005733559762,1.9656168419611457,-2.572711902646971,0.009389303270325784
98,1635452203.29563,1635452203,295629946,-46.88105150941984,100.26542845271862,1.9654942683390502,-3.297938851608835,0.008749397540885457
99,1635452203.3266969,1635452203,326696942,-46.89156029422968,100.29065348234025,1.9654469703367465,-3.302886144387523,0.0077865491786499215
100,1635452203.3635657,1635452203,363565701,-46.92932182178334,100.38137128732754,1.9650222912764552,-2.5447339592165963,0.00785883789645242
101,1635452203.3952973,1635452203,395297369,-46.95594223631979,100.44538511848299,1.9648428646637959,-3.3061436529631267,0.01759545258023686
102,1635452203.4266007,1635452203,426600721,-46.96712602198518,100.47227865037304,1.9647674838399587,-3.3013842264952804,0.021740228521560052
103,1635452203.4642956,1635452203,464295720,-47.00473707805833,100.56285172310483,1.964003061531072,-2.5759924647429226,0.024115846890464955
104,1635452203.4949,1635452203,494899965,-47.030478818379684,100.62497573876121,1.9634794219543124,-3.3041199964877555,0.013073075614408812
105,1635452203.5265121,1635452203,526512073,-47.04231552216249,100.65354193366267,1.9632386392223882,-3.2964145140734575,-0.0016846123325217977
106,1635452203.5631893,1635452203,563189198,-47.07979524935855,100.74409175447592,1.9632386392221854,-2.519998105930746,-0.013415031310366301
107,1635452203.5948608,1635452203,594860837,-47.1054153114869,100.80589984891434,1.9639344986923966,-3.304731074365685,-0.00781390080675043
108,1635452203.6314752,1635452203,631475147,-47.11732111559683,100.83462245938676,1.9642578689675687,-3.3374656797063307,0.0035151570307739265
109,1635452203.663804,1635452203,663803986,-47.15491735285268,100.92527939458934,1.9635783824705786,-2.5395595164674756,0.00851427619538656
110,1635452203.6960335,1635452203,696033591,-47.182739365044846,100.9924803323254,1.96320034652167,-3.306716888167199,0.02214147619019108
111,1635452203.7314823,1635452203,731482265,-47.19242307483356,101.01587024294979,1.9630687675979874,-3.366570749187578,0.015771402968900963
112,1635452203.7632885,1635452203,763288455,-47.229989464289105,101.10669492147609,1.9628988959739917,-2.5717476699805557,0.009338640822436321
113,1635452203.7946153,1635452203,794615351,-47.255629842436036,101.16876056444207,1.9624437314550525,-3.334769100951936,0.010152074384711584
114,1635452203.8322425,1635452203,832242500,-47.268266372975155,101.1993488181829,1.9622194094770014,-3.3450335512121763,0.009862844200126814
115,1635452203.8642993,1635452203,864299252,-47.305622561978545,101.28987203028979,1.962134473664902,-2.5490203847095287,0.005363459342883276
116,1635452203.8954628,1635452203,895462853,-47.33169012030142,101.3530629504137,1.962013444480774,-3.2605600456020407,0.0013562679245449202
117,1635452203.9313743,1635452203,931374317,-47.34220992314302,101.37856422724406,1.961964602040706,-3.3218086159018534,0.0031778370085837346
118,1635452203.9630244,1635452203,963024278,-47.3795795297953,101.46918543071534,1.9618796662286067,-2.5129342333111295,0.0020101579428715606
119,1635452203.9945104,1635452203,994510413,-47.40462795832599,101.52994244937194,1.9618231642905397,-3.328442604174723,0.005098052567338272
120,1635452204.0385075,1635452204,38507385,-47.417233258000856,101.56051763801422,1.9617947304165075,-3.40367621523218,0.007409518433832951
121,1635452204.0643067,1635452204,64306723,-47.454598003545485,101.65119260285962,1.961539922980212,-2.5805156825426248,0.011558325091870337
122,1635452204.0953484,1635452204,95348446,-47.4810016592198,101.71532183559016,1.9612998470791703,-3.295924842844166,0.016323392573187257
123,1635452204.1313875,1635452204,131387369,-47.49196311892781,101.74194504297296,1.9612001797320198,-3.3333965967125936,0.017233995450783166
124,1635452204.1630049,1635452204,163004819,-47.52918331140459,101.83249838660171,1.960350821610833,-2.5075852126747797,0.010189145858899061
125,1635452204.195069,1635452204,195069019,-47.55489777394338,101.89515011859996,1.9602332010487333,-3.301402005993925,0.011073664526164406
126,1635452204.238532,1635452204,238531975,-47.56632101453075,101.92298215307285,1.960180949986637,-3.3959493014938564,0.0090271156330796
127,1635452204.2630677,1635452204,263067659,-47.603560024479755,102.01373469083141,1.960180949986637,-2.5185188215080907,-0.0006220932103335362
128,1635452204.2945273,1635452204,294527293,-47.628376729706275,102.07426494453777,1.959784734002653,-3.3155423877502557,0.005320744059913954
129,1635452204.331415,1635452204,331415038,-47.64079928205789,102.10456470587435,1.959586399301948,-3.343273033818623,0.005107522229581819
130,1635452204.3633895,1635452204,363389545,-47.67807233404321,102.19551015860351,1.9599261425503431,-2.5373620906065786,0.006288544067258595
